        1 file(s) copied. 

n =

   273


p =

   133

Initial regression, p=14, R^2=0.58627
v=52, p=17, R^2=0.75991, of=41.8811,  btrsize=37, etrsize=52, ecr=4.6802
v=53, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=94, ecr=3.2561
v=54, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=94, ecr=2.322
v=55, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=94, ecr=4.3331
v=56, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=96, ecr=7.6638
v=57, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=1969, ecr=3.8865
v=58, p=16, R^2=0.74387, of=42.3898,  btrsize=37, etrsize=1970, ecr=1.9828
{Index exceeds matrix dimensions.

Error in <a href="matlab:helpUtils.errorDocCallback('reg974_inte', 'D:\MATLAB\isreg\reg974_inte.m', 475)" style="font-weight:bold">reg974_inte</a> (<a href="matlab: opentoline('D:\MATLAB\isreg\reg974_inte.m',475,0)">line 475</a>)
Tr=TR(tr,:);
} 
reg974_inte
        1 file(s) copied. 

n =

   273


p =

    39

Initial regression, p=23, R^2=0.67414
v=0, p=15, R^2=0.66422, of=32.2573,  btrsize=0, etrsize=14, ecr=2.28
v=1, p=9, R^2=0.52654, of=36.8443,  btrsize=17, etrsize=25, ecr=1.5266
v=2, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=0.98556
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=4.2853
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=29, ecr=12.2048
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=650, ecr=6.1752
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=3.7861
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=2.3917
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=23, ecr=7.66
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=91, ecr=3.8846
